"fish_level","mean_yield","yield_min","yield_max","mean_biomass"
0,0,0,0,0.391462907701003
2,0.0201385623030122,0.00797402047311665,0.137241746246303,0.482260546136986
4,0.030570129796125,0.0117227029343232,0.231125174618051,0.488878727849305
6,0.0362796956394216,0.0138308302398828,0.301863041252243,0.489793459767573
8,0.0398851998328184,0.0143743082770094,0.380921165177791,0.49053726768691
10,0.042103680752736,0.0104257376441105,0.377160172929066,0.489217970538916
12,0.043123727407092,0.0108464164285862,0.451932886606271,0.48464972910818
14,0.0432846980623356,0.0118073461764155,0.45665452649599,0.476531065745481
16,0.0431542007418636,0.00845468496167387,0.392182198366532,0.46497260288303
18,0.0426626994041457,0.00614587786083906,0.515270854777048,0.450255026151611
20,0.0429620306484479,0.0069342845131133,0.452695284538476,0.432508054003422
22,0.0573067284075441,0.00839882930497937,0.535672099454561,0.409303447898666
24,0.0577739185474679,0.00464506814229824,0.55198519078721,0.38831609787177
26,0.0580469423687227,0.0055688744355134,0.517785574812455,0.382184231570233
28,0.0587891277525307,0.00398315535724213,0.561395605060291,0.379960241011851
30,0.0598093506453471,0.00697218225750184,0.468144601267354,0.378911464329707
